Date : 2025-05-01 12:16:32
Directory : /home/joseluiz/personal/github/r2m_4wd_diff_drive
Total : 125 files,  7821 codes, 736 comments, 2111 blanks, all 10668 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| legacy_code/ros2_control_demos/example_2/bringup/config                                                                                                    |          1 |         42 |          4 |         11 |         57 |
| legacy_code/ros2_control_demos/example_2/bringup/launch                                                                                                    |          1 |        118 |         18 |         14 |        150 |
| legacy_code/ros2_control_demos/example_2/description                                                                                                       |          1 |        101 |         15 |         14 |        130 |
| legacy_code/ros2_control_demos/example_2/description/launch                                                                                                |          1 |        101 |         15 |         14 |        130 |
| legacy_code/ros2_control_demos/example_2/doc                                                                                                               |          1 |        109 |         18 |         67 |        194 |
| legacy_code/ros2_control_demos/example_2/hardware                                                                                                          |          2 |        216 |         53 |         52 |        321 |
| legacy_code/ros2_control_demos/example_2/hardware (Files)                                                                                                  |          1 |        169 |         29 |         33 |        231 |
| legacy_code/ros2_control_demos/example_2/hardware/include                                                                                                  |          1 |         47 |         24 |         19 |         90 |
| legacy_code/ros2_control_demos/example_2/hardware/include/ros2_control_demo_example_2                                                                      |          1 |         47 |         24 |         19 |         90 |
| legacy_code/ros2_control_demos/example_2/test                                                                                                              |          3 |        100 |         95 |         41 |        236 |
| legacy_code/ros2_control_demos/ros2_control_demo_description                                                                                               |          2 |         22 |          0 |          9 |         31 |
| legacy_code/ros2_control_demos/ros2_control_demos                                                                                                          |          2 |         20 |          0 |          9 |         29 |
| legacy_code/submodules                                                                                                                                     |         36 |      2,580 |        129 |        662 |      3,371 |
| legacy_code/submodules/ros_odrive                                                                                                                          |         36 |      2,580 |        129 |        662 |      3,371 |
| legacy_code/submodules/ros_odrive (Files)                                                                                                                  |          2 |         80 |         13 |         32 |        125 |
| legacy_code/submodules/ros_odrive/.devcontainer                                                                                                            |          8 |        136 |         32 |         28 |        196 |
| legacy_code/submodules/ros_odrive/.devcontainer/humble                                                                                                     |          2 |         35 |          8 |          7 |         50 |
| legacy_code/submodules/ros_odrive/.devcontainer/iron                                                                                                       |          2 |         35 |          8 |          7 |         50 |
| legacy_code/submodules/ros_odrive/.devcontainer/iron-remote                                                                                                |          2 |         35 |          8 |          7 |         50 |
| legacy_code/submodules/ros_odrive/.devcontainer/jazzy                                                                                                      |          2 |         31 |          8 |          7 |         46 |
| legacy_code/submodules/ros_odrive/.github                                                                                                                  |          1 |         42 |          0 |          9 |         51 |
| legacy_code/submodules/ros_odrive/.github/workflows                                                                                                        |          1 |         42 |          0 |          9 |         51 |
| legacy_code/submodules/ros_odrive/odrive_base                                                                                                              |          7 |      1,190 |         16 |        304 |      1,510 |
| legacy_code/submodules/ros_odrive/odrive_base/include                                                                                                      |          5 |        994 |         15 |        270 |      1,279 |
| legacy_code/submodules/ros_odrive/odrive_base/src                                                                                                          |          2 |        196 |          1 |         34 |        231 |
| legacy_code/submodules/ros_odrive/odrive_botwheel_explorer                                                                                                 |          5 |        266 |         39 |         69 |        374 |
| legacy_code/submodules/ros_odrive/odrive_botwheel_explorer (Files)                                                                                         |          3 |        138 |          0 |         44 |        182 |
| legacy_code/submodules/ros_odrive/odrive_botwheel_explorer/config                                                                                          |          1 |         41 |          4 |         10 |         55 |
| legacy_code/submodules/ros_odrive/odrive_botwheel_explorer/launch                                                                                          |          1 |         87 |         35 |         15 |        137 |
| legacy_code/submodules/ros_odrive/odrive_node                                                                                                              |          8 |        496 |          3 |        116 |        615 |
| legacy_code/submodules/ros_odrive/odrive_node (Files)                                                                                                      |          3 |        112 |          0 |         54 |        166 |
| legacy_code/submodules/ros_odrive/odrive_node/include                                                                                                      |          2 |         93 |          1 |         22 |        116 |
| legacy_code/submodules/ros_odrive/odrive_node/launch                                                                                                       |          1 |         13 |          0 |          1 |         14 |
| legacy_code/submodules/ros_odrive/odrive_node/src                                                                                                          |          2 |        278 |          2 |         39 |        319 |
| legacy_code/submodules/ros_odrive/odrive_ros2_control                                                                                                      |          5 |        370 |         26 |        104 |        500 |
| legacy_code/submodules/ros_odrive/odrive_ros2_control (Files)                                                                                              |          4 |         93 |          0 |         41 |        134 |
| legacy_code/submodules/ros_odrive/odrive_ros2_control/src                                                                                                  |          1 |        277 |         26 |         63 |        366 |
| ros2_control_demos                                                                                                                                         |         21 |      1,088 |        225 |        336 |      1,649 |
| ros2_control_demos (Files)                                                                                                                                 |          4 |        243 |         22 |         95 |        360 |
| ros2_control_demos/example_2                                                                                                                               |         13 |        803 |        203 |        223 |      1,229 |
| ros2_control_demos/example_2 (Files)                                                                                                                       |          4 |        117 |          0 |         24 |        141 |
| ros2_control_demos/example_2/bringup                                                                                                                       |          2 |        160 |         22 |         25 |        207 |
| ros2_control_demos/example_2/bringup/config                                                                                                                |          1 |         42 |          4 |         11 |         57 |
| ros2_control_demos/example_2/bringup/launch                                                                                                                |          1 |        118 |         18 |         14 |        150 |
| ros2_control_demos/example_2/description                                                                                                                   |          1 |        101 |         15 |         14 |        130 |
| ros2_control_demos/example_2/description/launch                                                                                                            |          1 |        101 |         15 |         14 |        130 |
| ros2_control_demos/example_2/doc                                                                                                                           |          1 |        109 |         18 |         67 |        194 |
| ros2_control_demos/example_2/hardware                                                                                                                      |          2 |        216 |         53 |         52 |        321 |
| ros2_control_demos/example_2/hardware (Files)                                                                                                              |          1 |        169 |         29 |         33 |        231 |
| ros2_control_demos/example_2/hardware/include                                                                                                              |          1 |         47 |         24 |         19 |         90 |
| ros2_control_demos/example_2/hardware/include/ros2_control_demo_example_2                                                                                  |          1 |         47 |         24 |         19 |         90 |
| ros2_control_demos/example_2/test                                                                                                                          |          3 |        100 |         95 |         41 |        236 |
| ros2_control_demos/ros2_control_demo_description                                                                                                           |          2 |         22 |          0 |          9 |         31 |
| ros2_control_demos/ros2_control_demos                                                                                                                      |          2 |         20 |          0 |          9 |         29 |
| submodules                                                                                                                                                 |         36 |      2,560 |        149 |        662 |      3,371 |
| submodules/ros_odrive                                                                                                                                      |         36 |      2,560 |        149 |        662 |      3,371 |
| submodules/ros_odrive (Files)                                                                                                                              |          2 |         80 |         13 |         32 |        125 |
| submodules/ros_odrive/.devcontainer                                                                                                                        |          8 |        136 |         32 |         28 |        196 |
| submodules/ros_odrive/.devcontainer/humble                                                                                                                 |          2 |         35 |          8 |          7 |         50 |
| submodules/ros_odrive/.devcontainer/iron                                                                                                                   |          2 |         35 |          8 |          7 |         50 |
| submodules/ros_odrive/.devcontainer/iron-remote                                                                                                            |          2 |         35 |          8 |          7 |         50 |
| submodules/ros_odrive/.devcontainer/jazzy                                                                                                                  |          2 |         31 |          8 |          7 |         46 |
| submodules/ros_odrive/.github                                                                                                                              |          1 |         42 |          0 |          9 |         51 |
| submodules/ros_odrive/.github/workflows                                                                                                                    |          1 |         42 |          0 |          9 |         51 |
| submodules/ros_odrive/odrive_base                                                                                                                          |          7 |      1,190 |         16 |        304 |      1,510 |
| submodules/ros_odrive/odrive_base/include                                                                                                                  |          5 |        994 |         15 |        270 |      1,279 |
| submodules/ros_odrive/odrive_base/src                                                                                                                      |          2 |        196 |          1 |         34 |        231 |
| submodules/ros_odrive/odrive_botwheel_explorer                                                                                                             |          5 |        246 |         59 |         69 |        374 |
| submodules/ros_odrive/odrive_botwheel_explorer (Files)                                                                                                     |          3 |        138 |          0 |         44 |        182 |
| submodules/ros_odrive/odrive_botwheel_explorer/config                                                                                                      |          1 |         41 |          4 |         10 |         55 |
| submodules/ros_odrive/odrive_botwheel_explorer/launch                                                                                                      |          1 |         67 |         55 |         15 |        137 |
| submodules/ros_odrive/odrive_node                                                                                                                          |          8 |        496 |          3 |        116 |        615 |
| submodules/ros_odrive/odrive_node (Files)                                                                                                                  |          3 |        112 |          0 |         54 |        166 |
| submodules/ros_odrive/odrive_node/include                                                                                                                  |          2 |         93 |          1 |         22 |        116 |
| submodules/ros_odrive/odrive_node/launch                                                                                                                   |          1 |         13 |          0 |          1 |         14 |
| submodules/ros_odrive/odrive_node/src                                                                                                                      |          2 |        278 |          2 |         39 |        319 |
| submodules/ros_odrive/odrive_ros2_control                                                                                                                  |          5 |        370 |         26 |        104 |        500 |
| submodules/ros_odrive/odrive_ros2_control (Files)                                                                                                          |          4 |         93 |          0 |         41 |        134 |
| submodules/ros_odrive/odrive_ros2_control/src                                                                                                              |          1 |        277 |         26 |         63 |        366 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                   | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/.github/workflows/docker-push.yml                                                                        | YAML               |        143 |          3 |         24 |        170 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/README.md                                                                                                | Markdown           |        150 |          0 |         53 |        203 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/docker/Dockerfile                                                                                        | Docker             |         34 |          5 |         10 |         49 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/docker/build.yml                                                                                         | YAML               |          7 |          0 |          1 |          8 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/docker/docker-compose-hardware.yml                                                                       | YAML               |         26 |          0 |          1 |         27 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/docker/docker-compose.yml                                                                                | YAML               |         26 |          0 |          1 |         27 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/docker/Dockerfile                                                                            | Docker             |         15 |          0 |          7 |         22 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/docker/build.yml                                                                             | YAML               |          7 |          0 |          1 |          8 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/docker/docker-compose-hardware.yml                                                           | YAML               |         26 |          0 |          1 |         27 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/docker/docker-compose.yml                                                                    | YAML               |         26 |          0 |          2 |         28 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/readme.md                                                                                    | Markdown           |         45 |          0 |         14 |         59 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/.clang-format                                                             | YAML               |         14 |          0 |          2 |         16 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/.pre-commit-config.yaml                                                   | YAML               |        103 |         22 |         17 |        142 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/CONTRIBUTING.md                                                           | Markdown           |         53 |          0 |         18 |         71 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/README.md                                                                 | Markdown           |         73 |          0 |         58 |        131 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/CMakeLists.txt                                                  | CMake              |         66 |          0 |         11 |         77 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/README.md                                                       | Markdown           |          4 |          0 |          3 |          7 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/bringup/config/diffbot_controllers.yaml                         | YAML               |         42 |          4 |         11 |         57 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/bringup/launch/diffbot.launch.py                                | Python             |        118 |         18 |         14 |        150 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/description/launch/view_robot.launch.py                         | Python             |        101 |         15 |         14 |        130 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/doc/userdoc.rst                                                 | reStructuredText   |        109 |         18 |         67 |        194 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/hardware/diffbot_system.cpp                                     | C++                |        169 |         29 |         33 |        231 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/hardware/include/ros2_control_demo_example_2/diffbot_system.hpp | C++                |         47 |         24 |         19 |         90 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/package.xml                                                     | XML                |         38 |          0 |          9 |         47 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/ros2_control_demo_example_2.xml                                 | XML                |          9 |          0 |          1 |         10 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/test/test_diffbot_launch.py                                     | Python             |         50 |         33 |         20 |        103 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/test/test_urdf_xacro.py                                         | Python             |         31 |         32 |         15 |         78 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/example_2/test/test_view_robot_launch.py                                  | Python             |         19 |         30 |          6 |         55 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/ros2_control_demo_description/CMakeLists.txt                              | CMake              |          8 |          0 |          4 |         12 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/ros2_control_demo_description/package.xml                                 | XML                |         14 |          0 |          5 |         19 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/ros2_control_demos/CMakeLists.txt                                         | CMake              |          4 |          0 |          2 |          6 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/ros2_control_demos/ros2_control_demos/package.xml                                            | XML                |         16 |          0 |          7 |         23 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/.clang-format                                                          | YAML               |         53 |         13 |         16 |         82 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/.devcontainer/humble/Dockerfile                                        | Docker             |         16 |          8 |          7 |         31 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/.devcontainer/humble/devcontainer.json                                 | JSON with Comments |         19 |          0 |          0 |         19 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/.devcontainer/iron-remote/Dockerfile                                   | Docker             |         16 |          8 |          7 |         31 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/.devcontainer/iron-remote/devcontainer.json                            | JSON with Comments |         19 |          0 |          0 |         19 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/.devcontainer/iron/Dockerfile                                          | Docker             |         16 |          8 |          7 |         31 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/.devcontainer/iron/devcontainer.json                                   | JSON with Comments |         19 |          0 |          0 |         19 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/.devcontainer/jazzy/Dockerfile                                         | Docker             |         12 |          8 |          7 |         27 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/.devcontainer/jazzy/devcontainer.json                                  | JSON with Comments |         19 |          0 |          0 |         19 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/.github/workflows/ros-build-test.yaml                                  | YAML               |         42 |          0 |          9 |         51 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/README.md                                                              | Markdown           |         27 |          0 |         16 |         43 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_base/include/can_helpers.hpp                                    | C++                |         81 |          0 |         17 |         98 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_base/include/can_simple_messages.hpp                            | C++                |        669 |          1 |        212 |        882 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_base/include/epoll_event_loop.hpp                               | C++                |         43 |          0 |         18 |         61 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_base/include/odrive_enums.h                                     | C++                |        174 |         14 |         16 |        204 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_base/include/socket_can.hpp                                     | C++                |         27 |          0 |          7 |         34 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_base/src/epoll_event_loop.cpp                                   | C++                |         76 |          0 |         17 |         93 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_base/src/socket_can.cpp                                         | C++                |        120 |          1 |         17 |        138 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_botwheel_explorer/CMakeLists.txt                                | CMake              |          8 |          0 |          4 |         12 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_botwheel_explorer/README.md                                     | Markdown           |        111 |          0 |         36 |        147 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_botwheel_explorer/config/diffbot_controllers.yaml               | YAML               |         41 |          4 |         10 |         55 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_botwheel_explorer/launch/botwheel_explorer.launch.py            | Python             |         87 |         35 |         15 |        137 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_botwheel_explorer/package.xml                                   | XML                |         19 |          0 |          4 |         23 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_node/CMakeLists.txt                                             | CMake              |         41 |          0 |         13 |         54 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_node/README.md                                                  | Markdown           |         47 |          0 |         33 |         80 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_node/include/byte_swap.hpp                                      | C++                |         33 |          1 |          7 |         41 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_node/include/odrive_can_node.hpp                                | C++                |         60 |          0 |         15 |         75 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_node/launch/example_launch.yaml                                 | YAML               |         13 |          0 |          1 |         14 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_node/package.xml                                                | XML                |         24 |          0 |          8 |         32 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_node/src/main.cpp                                               | C++                |         15 |          0 |          4 |         19 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_node/src/odrive_can_node.cpp                                    | C++                |        263 |          2 |         35 |        300 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_ros2_control/CMakeLists.txt                                     | CMake              |         30 |          0 |         11 |         41 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_ros2_control/README.md                                          | Markdown           |         32 |          0 |         22 |         54 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_ros2_control/odrive_hardware_interface.xml                      | XML                |          9 |          0 |          0 |          9 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_ros2_control/package.xml                                        | XML                |         22 |          0 |          8 |         30 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/legacy_code/submodules/ros_odrive/odrive_ros2_control/src/odrive_hardware_interface.cpp                  | C++                |        277 |         26 |         63 |        366 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/.clang-format                                                                         | YAML               |         14 |          0 |          2 |         16 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/.pre-commit-config.yaml                                                               | YAML               |        103 |         22 |         17 |        142 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/CONTRIBUTING.md                                                                       | Markdown           |         53 |          0 |         18 |         71 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/README.md                                                                             | Markdown           |         73 |          0 |         58 |        131 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/CMakeLists.txt                                                              | CMake              |         66 |          0 |         11 |         77 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/README.md                                                                   | Markdown           |          4 |          0 |          3 |          7 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/bringup/config/diffbot_controllers.yaml                                     | YAML               |         42 |          4 |         11 |         57 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/bringup/launch/diffbot.launch.py                                            | Python             |        118 |         18 |         14 |        150 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/description/launch/view_robot.launch.py                                     | Python             |        101 |         15 |         14 |        130 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/doc/userdoc.rst                                                             | reStructuredText   |        109 |         18 |         67 |        194 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/hardware/diffbot_system.cpp                                                 | C++                |        169 |         29 |         33 |        231 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/hardware/include/ros2_control_demo_example_2/diffbot_system.hpp             | C++                |         47 |         24 |         19 |         90 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/package.xml                                                                 | XML                |         38 |          0 |          9 |         47 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/ros2_control_demo_example_2.xml                                             | XML                |          9 |          0 |          1 |         10 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/test/test_diffbot_launch.py                                                 | Python             |         50 |         33 |         20 |        103 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/test/test_urdf_xacro.py                                                     | Python             |         31 |         32 |         15 |         78 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/example_2/test/test_view_robot_launch.py                                              | Python             |         19 |         30 |          6 |         55 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/ros2_control_demo_description/CMakeLists.txt                                          | CMake              |          8 |          0 |          4 |         12 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/ros2_control_demo_description/package.xml                                             | XML                |         14 |          0 |          5 |         19 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/ros2_control_demos/CMakeLists.txt                                                     | CMake              |          4 |          0 |          2 |          6 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/ros2_control_demos/ros2_control_demos/package.xml                                                        | XML                |         16 |          0 |          7 |         23 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/.clang-format                                                                      | YAML               |         53 |         13 |         16 |         82 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/.devcontainer/humble/Dockerfile                                                    | Docker             |         16 |          8 |          7 |         31 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/.devcontainer/humble/devcontainer.json                                             | JSON with Comments |         19 |          0 |          0 |         19 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/.devcontainer/iron-remote/Dockerfile                                               | Docker             |         16 |          8 |          7 |         31 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/.devcontainer/iron-remote/devcontainer.json                                        | JSON with Comments |         19 |          0 |          0 |         19 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/.devcontainer/iron/Dockerfile                                                      | Docker             |         16 |          8 |          7 |         31 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/.devcontainer/iron/devcontainer.json                                               | JSON with Comments |         19 |          0 |          0 |         19 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/.devcontainer/jazzy/Dockerfile                                                     | Docker             |         12 |          8 |          7 |         27 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/.devcontainer/jazzy/devcontainer.json                                              | JSON with Comments |         19 |          0 |          0 |         19 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/.github/workflows/ros-build-test.yaml                                              | YAML               |         42 |          0 |          9 |         51 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/README.md                                                                          | Markdown           |         27 |          0 |         16 |         43 |
| /home/joseluiz/personal/github/r2m_4wd_diff_drive/submodules/ros_odrive/odrive_base/include/can_helpers.hpp                                                | C++                |         81 |          0 |         17 |         98 |
